seq_id,sum.taxonomy,iter,ASV,sample,reads,tot,prob,Sequencing_depth_flag,rep,rep_type,pcr_rep,distances_id,sample_derived_from,rep_outlier_flag,occurrences_perASV,threshold_ASV_occ,TotalReadsperASV,threshold_nton_filt,tot_step14,Step14_read_depth_flag
7e044ffc2dddb8565629853bc7533d9a,Eukaryota;Ciliophora;Phyllopharyngea;Exogenida;Ephelotidae;Ephelota;Ephelota plana,run_example,ASV_1,sample1.1B,1000,16330,0.22583205982992563,Ok,1,B,NA,18Sv4:1,NA,Not Replicate,5,4,26475,10,NA,Ok
7e044ffc2dddb8565629853bc7533d9a,Eukaryota;Ciliophora;Phyllopharyngea;Exogenida;Ephelotidae;Ephelota;Ephelota plana,run_example,ASV_1,sample1.2B,325,17827,0.2815588455231376,Ok,2,B,NA,18Sv4:2,NA,Not Replicate,5,4,26475,10,NA,Ok
7e044ffc2dddb8565629853bc7533d9a,Eukaryota;Ciliophora;Phyllopharyngea;Exogenida;Ephelotidae;Ephelota;Ephelota plana,run_example,ASV_1,sample1.3B,25000,34000,0.807990808309888,Ok,3,B,NA,18Sv4:3,NA,Not Replicate,5,4,26475,10,NA,Ok
7e044ffc2dddb8565629853bc7533d9a,Eukaryota;Ciliophora;Phyllopharyngea;Exogenida;Ephelotidae;Ephelota;Ephelota plana,run_example,ASV_1,sample2,100,43201,0.9325249503519621,Ok,NA,NA,NA,18Sv4,NA,Not Replicate,5,4,26475,10,NA,Ok
7e044ffc2dddb8565629853bc7533d9a,Eukaryota;Ciliophora;Phyllopharyngea;Exogenida;Ephelotidae;Ephelota;Ephelota plana,run_example,ASV_1,sample3,50,13990,0.14709037936646552,Ok,NA,NA,NA,18Sv4,NA,Not Replicate,5,4,26475,10,NA,Ok
da4854c7d470b3cc4a603caa8bdc0063,Eukaryota;Dinophyceae__p;Dinophyceae;NA;NA;NA;NA,run_example,ASV_2,sample1.1B,300,16330,0.22583205982992563,Ok,1,B,NA,18Sv4:1,NA,Not Replicate,5,4,5900,10,NA,Ok
da4854c7d470b3cc4a603caa8bdc0063,Eukaryota;Dinophyceae__p;Dinophyceae;NA;NA;NA;NA,run_example,ASV_2,sample1.2B,400,17827,0.2815588455231376,Ok,2,B,NA,18Sv4:2,NA,Not Replicate,5,4,5900,10,NA,Ok
da4854c7d470b3cc4a603caa8bdc0063,Eukaryota;Dinophyceae__p;Dinophyceae;NA;NA;NA;NA,run_example,ASV_2,sample1.3B,4500,34000,0.807990808309888,Ok,3,B,NA,18Sv4:3,NA,Not Replicate,5,4,5900,10,NA,Ok
da4854c7d470b3cc4a603caa8bdc0063,Eukaryota;Dinophyceae__p;Dinophyceae;NA;NA;NA;NA,run_example,ASV_2,sample2,400,43201,0.9325249503519621,Ok,NA,NA,NA,18Sv4,NA,Not Replicate,5,4,5900,10,NA,Ok
da4854c7d470b3cc4a603caa8bdc0063,Eukaryota;Dinophyceae__p;Dinophyceae;NA;NA;NA;NA,run_example,ASV_2,sample3,300,13990,0.14709037936646552,Ok,NA,NA,NA,18Sv4,NA,Not Replicate,5,4,5900,10,NA,Ok
df07fc19312c666e9350ac397b0da7f4,Eukaryota;Dinophyceae__p;Dinophyceae;NA;NA;NA;NA,run_example,ASV_3,sample1.1B,3500,16330,0.22583205982992563,Ok,1,B,NA,18Sv4:1,NA,Not Replicate,5,4,14350,10,NA,Ok
df07fc19312c666e9350ac397b0da7f4,Eukaryota;Dinophyceae__p;Dinophyceae;NA;NA;NA;NA,run_example,ASV_3,sample1.2B,5000,17827,0.2815588455231376,Ok,2,B,NA,18Sv4:2,NA,Not Replicate,5,4,14350,10,NA,Ok
df07fc19312c666e9350ac397b0da7f4,Eukaryota;Dinophyceae__p;Dinophyceae;NA;NA;NA;NA,run_example,ASV_3,sample1.3B,450,34000,0.807990808309888,Ok,3,B,NA,18Sv4:3,NA,Not Replicate,5,4,14350,10,NA,Ok
df07fc19312c666e9350ac397b0da7f4,Eukaryota;Dinophyceae__p;Dinophyceae;NA;NA;NA;NA,run_example,ASV_3,sample2,400,43201,0.9325249503519621,Ok,NA,NA,NA,18Sv4,NA,Not Replicate,5,4,14350,10,NA,Ok
df07fc19312c666e9350ac397b0da7f4,Eukaryota;Dinophyceae__p;Dinophyceae;NA;NA;NA;NA,run_example,ASV_3,sample3,5000,13990,0.14709037936646552,Ok,NA,NA,NA,18Sv4,NA,Not Replicate,5,4,14350,10,NA,Ok
c6fd4374505a98bed32f10f549eb0565,Eukaryota;Dinophyceae__p;Dinophyceae;NA;NA;NA;NA,run_example,ASV_4,sample1.1B,200,16330,0.22583205982992563,Ok,1,B,NA,18Sv4:1,NA,Not Replicate,5,4,5400,10,NA,Ok
c6fd4374505a98bed32f10f549eb0565,Eukaryota;Dinophyceae__p;Dinophyceae;NA;NA;NA;NA,run_example,ASV_4,sample1.2B,3000,17827,0.2815588455231376,Ok,2,B,NA,18Sv4:2,NA,Not Replicate,5,4,5400,10,NA,Ok
c6fd4374505a98bed32f10f549eb0565,Eukaryota;Dinophyceae__p;Dinophyceae;NA;NA;NA;NA,run_example,ASV_4,sample1.3B,2000,34000,0.807990808309888,Ok,3,B,NA,18Sv4:3,NA,Not Replicate,5,4,5400,10,NA,Ok
c6fd4374505a98bed32f10f549eb0565,Eukaryota;Dinophyceae__p;Dinophyceae;NA;NA;NA;NA,run_example,ASV_4,sample2,150,43201,0.9325249503519621,Ok,NA,NA,NA,18Sv4,NA,Not Replicate,5,4,5400,10,NA,Ok
c6fd4374505a98bed32f10f549eb0565,Eukaryota;Dinophyceae__p;Dinophyceae;NA;NA;NA;NA,run_example,ASV_4,sample3,50,13990,0.14709037936646552,Ok,NA,NA,NA,18Sv4,NA,Not Replicate,5,4,5400,10,NA,Ok
e9cb7472f160adfcd60f41c05e1e953c,Eukaryota;Ciliophora;Spirotrichea;NA;NA;NA;NA,run_example,ASV_5,sample1.1B,200,16330,0.22583205982992563,Ok,1,B,NA,18Sv4:1,NA,Not Replicate,5,4,5000,10,NA,Ok
e9cb7472f160adfcd60f41c05e1e953c,Eukaryota;Ciliophora;Spirotrichea;NA;NA;NA;NA,run_example,ASV_5,sample1.2B,1000,17827,0.2815588455231376,Ok,2,B,NA,18Sv4:2,NA,Not Replicate,5,4,5000,10,NA,Ok
e9cb7472f160adfcd60f41c05e1e953c,Eukaryota;Ciliophora;Spirotrichea;NA;NA;NA;NA,run_example,ASV_5,sample1.3B,150,34000,0.807990808309888,Ok,3,B,NA,18Sv4:3,NA,Not Replicate,5,4,5000,10,NA,Ok
e9cb7472f160adfcd60f41c05e1e953c,Eukaryota;Ciliophora;Spirotrichea;NA;NA;NA;NA,run_example,ASV_5,sample2,650,43201,0.9325249503519621,Ok,NA,NA,NA,18Sv4,NA,Not Replicate,5,4,5000,10,NA,Ok
e9cb7472f160adfcd60f41c05e1e953c,Eukaryota;Ciliophora;Spirotrichea;NA;NA;NA;NA,run_example,ASV_5,sample3,3000,13990,0.14709037936646552,Ok,NA,NA,NA,18Sv4,NA,Not Replicate,5,4,5000,10,NA,Ok
79544ffcfff628b44be9af5c7a3c782a,Eukaryota;Dinophyceae__p;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa;Heterocapsa rotundata,run_example,ASV_6,sample1.1B,130,16330,0.22583205982992563,Ok,1,B,NA,18Sv4:1,NA,Not Replicate,4,4,430,10,NA,Ok
79544ffcfff628b44be9af5c7a3c782a,Eukaryota;Dinophyceae__p;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa;Heterocapsa rotundata,run_example,ASV_6,sample1.2B,100,17827,0.2815588455231376,Ok,2,B,NA,18Sv4:2,NA,Not Replicate,4,4,430,10,NA,Ok
79544ffcfff628b44be9af5c7a3c782a,Eukaryota;Dinophyceae__p;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa;Heterocapsa rotundata,run_example,ASV_6,sample1.3B,150,34000,0.807990808309888,Ok,3,B,NA,18Sv4:3,NA,Not Replicate,4,4,430,10,NA,Ok
79544ffcfff628b44be9af5c7a3c782a,Eukaryota;Dinophyceae__p;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa;Heterocapsa rotundata,run_example,ASV_6,sample2,0,43201,0.9325249503519621,Ok,NA,NA,NA,18Sv4,NA,Not Replicate,4,4,430,10,NA,Ok
79544ffcfff628b44be9af5c7a3c782a,Eukaryota;Dinophyceae__p;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa;Heterocapsa rotundata,run_example,ASV_6,sample3,50,13990,0.14709037936646552,Ok,NA,NA,NA,18Sv4,NA,Not Replicate,4,4,430,10,NA,Ok
05cde226a74ec07138cda2d9b03594fe,Eukaryota;Dinophyceae__p;Dinophyceae;NA;NA;NA;NA,run_example,ASV_7,sample1.1B,10000,16330,0.22583205982992563,Ok,1,B,NA,18Sv4:1,NA,Not Replicate,5,4,27540,10,NA,Ok
05cde226a74ec07138cda2d9b03594fe,Eukaryota;Dinophyceae__p;Dinophyceae;NA;NA;NA;NA,run_example,ASV_7,sample1.2B,6000,17827,0.2815588455231376,Ok,2,B,NA,18Sv4:2,NA,Not Replicate,5,4,27540,10,NA,Ok
