seq_id,sum.taxonomy
7e044ffc2dddb8565629853bc7533d9a,Eukaryota;Ciliophora;Phyllopharyngea;Exogenida;Ephelotidae;Ephelota;Ephelota plana
da4854c7d470b3cc4a603caa8bdc0063,Eukaryota;Dinophyceae__p;Dinophyceae;NA;NA;NA;NA
df07fc19312c666e9350ac397b0da7f4,Eukaryota;Dinophyceae__p;Dinophyceae;NA;NA;NA;NA
c6fd4374505a98bed32f10f549eb0565,Eukaryota;Dinophyceae__p;Dinophyceae;NA;NA;NA;NA
e9cb7472f160adfcd60f41c05e1e953c,Eukaryota;Ciliophora;Spirotrichea;NA;NA;NA;NA
79544ffcfff628b44be9af5c7a3c782a,Eukaryota;Dinophyceae__p;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa;Heterocapsa rotundata
05cde226a74ec07138cda2d9b03594fe,Eukaryota;Dinophyceae__p;Dinophyceae;NA;NA;NA;NA
c6ab74535fde4b02df0329925beae4fe,Eukaryota;Dinophyceae__p;Dinophyceae;Gymnodiniales;NA;NA;NA
a92ff015991848c989b2b3f4bb6c7cbf,Eukaryota;Dinophyceae__p;Dinophyceae;Gymnodiniales;Gymnodiniaceae;NA;NA
767143ab9acc72eb9ea4e88cc509485d,Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Clytiidae;Clytia;Clytia gracilis
