seq_id,sum.taxonomy,Miseq_region,samp_category,iter,ASV,sample1.1B,sample1.2B,sample1.3B,sample2,sample3
7e044ffc2dddb8565629853bc7533d9a,Eukaryota;Ciliophora;Phyllopharyngea;Exogenida;Ephelotidae;Ephelota;Ephelota plana,18Sv4,sample,run_example,ASV_1,1000,325,25000,100,50
da4854c7d470b3cc4a603caa8bdc0063,Eukaryota;Dinophyceae__p;Dinophyceae;NA;NA;NA;NA,18Sv4,sample,run_example,ASV_2,300,400,4500,400,300
df07fc19312c666e9350ac397b0da7f4,Eukaryota;Dinophyceae__p;Dinophyceae;NA;NA;NA;NA,18Sv4,sample,run_example,ASV_3,3500,5000,450,400,5000
c6fd4374505a98bed32f10f549eb0565,Eukaryota;Dinophyceae__p;Dinophyceae;NA;NA;NA;NA,18Sv4,sample,run_example,ASV_4,200,3000,2000,150,50
e9cb7472f160adfcd60f41c05e1e953c,Eukaryota;Ciliophora;Spirotrichea;NA;NA;NA;NA,18Sv4,sample,run_example,ASV_5,200,1000,150,650,3000
79544ffcfff628b44be9af5c7a3c782a,Eukaryota;Dinophyceae__p;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa;Heterocapsa rotundata,18Sv4,sample,run_example,ASV_6,130,100,150,0,50
05cde226a74ec07138cda2d9b03594fe,Eukaryota;Dinophyceae__p;Dinophyceae;NA;NA;NA;NA,18Sv4,sample,run_example,ASV_7,10000,6000,1500,10000,40
20ae4af88803c5e4662e5b4e3742ba8d,Eukaryota;Dinophyceae__p;Dinophyceae;Syndiniales;NA;NA;NA,18Sv4,sample,run_example,ASV_8,0,0,0,30000,0
c6ab74535fde4b02df0329925beae4fe,Eukaryota;Dinophyceae__p;Dinophyceae;Gymnodiniales;NA;NA;NA,18Sv4,sample,run_example,ASV_9,800,1000,50,1000,500
a92ff015991848c989b2b3f4bb6c7cbf,Eukaryota;Dinophyceae__p;Dinophyceae;Gymnodiniales;Gymnodiniaceae;NA;NA,18Sv4,sample,run_example,ASV_10,200,1000,200,500,5000
767143ab9acc72eb9ea4e88cc509485d,Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Clytiidae;Clytia;Clytia gracilis,18Sv4,sample,run_example,ASV_11,0,2,0,1,0
