seq_id,ASV,sample1.1B,sample1.2B,sample1.3B,sample2,sample3
7e044ffc2dddb8565629853bc7533d9a,ASV_1,1000,325,25000,100,50
da4854c7d470b3cc4a603caa8bdc0063,ASV_2,300,400,4500,400,300
df07fc19312c666e9350ac397b0da7f4,ASV_3,3500,5000,450,400,5000
c6fd4374505a98bed32f10f549eb0565,ASV_4,200,3000,2000,150,50
e9cb7472f160adfcd60f41c05e1e953c,ASV_5,200,1000,150,650,3000
79544ffcfff628b44be9af5c7a3c782a,ASV_6,130,100,150,0,50
05cde226a74ec07138cda2d9b03594fe,ASV_7,10000,6000,1500,10000,40
20ae4af88803c5e4662e5b4e3742ba8d,ASV_8,0,0,0,30000,0
c6ab74535fde4b02df0329925beae4fe,ASV_9,800,1000,50,1000,500
a92ff015991848c989b2b3f4bb6c7cbf,ASV_10,200,1000,200,500,5000
767143ab9acc72eb9ea4e88cc509485d,ASV_11,0,2,0,1,0
