sample,rep,rep_type,pcr_rep,distances_id,sample_derived_from,Sequencing_depth_flag,rep_outlier_flag
sample1.1B,1,B,NA,18Sv4:1,NA,Ok,Not Replicate
sample1.2B,2,B,NA,18Sv4:2,NA,Ok,Not Replicate
sample1.3B,3,B,NA,18Sv4:3,NA,Ok,Not Replicate
sample2,NA,NA,NA,18Sv4,NA,Ok,Not Replicate
sample3,NA,NA,NA,18Sv4,NA,Ok,Not Replicate
sample1.1B,1,B,NA,18Sv4:1,NA,Ok,Not Replicate
sample1.2B,2,B,NA,18Sv4:2,NA,Ok,Not Replicate
sample1.3B,3,B,NA,18Sv4:3,NA,Ok,Not Replicate
sample2,NA,NA,NA,18Sv4,NA,Ok,Not Replicate
sample3,NA,NA,NA,18Sv4,NA,Ok,Not Replicate
sample1.1B,1,B,NA,18Sv4:1,NA,Ok,Not Replicate
sample1.2B,2,B,NA,18Sv4:2,NA,Ok,Not Replicate
sample1.3B,3,B,NA,18Sv4:3,NA,Ok,Not Replicate
sample2,NA,NA,NA,18Sv4,NA,Ok,Not Replicate
sample3,NA,NA,NA,18Sv4,NA,Ok,Not Replicate
sample1.1B,1,B,NA,18Sv4:1,NA,Ok,Not Replicate
sample1.2B,2,B,NA,18Sv4:2,NA,Ok,Not Replicate
sample1.3B,3,B,NA,18Sv4:3,NA,Ok,Not Replicate
sample2,NA,NA,NA,18Sv4,NA,Ok,Not Replicate
sample3,NA,NA,NA,18Sv4,NA,Ok,Not Replicate
sample1.1B,1,B,NA,18Sv4:1,NA,Ok,Not Replicate
sample1.2B,2,B,NA,18Sv4:2,NA,Ok,Not Replicate
sample1.3B,3,B,NA,18Sv4:3,NA,Ok,Not Replicate
sample2,NA,NA,NA,18Sv4,NA,Ok,Not Replicate
sample3,NA,NA,NA,18Sv4,NA,Ok,Not Replicate
sample1.1B,1,B,NA,18Sv4:1,NA,Ok,Not Replicate
sample1.2B,2,B,NA,18Sv4:2,NA,Ok,Not Replicate
sample1.3B,3,B,NA,18Sv4:3,NA,Ok,Not Replicate
sample2,NA,NA,NA,18Sv4,NA,Ok,Not Replicate
sample3,NA,NA,NA,18Sv4,NA,Ok,Not Replicate
sample1.1B,1,B,NA,18Sv4:1,NA,Ok,Not Replicate
sample1.2B,2,B,NA,18Sv4:2,NA,Ok,Not Replicate
sample1.3B,3,B,NA,18Sv4:3,NA,Ok,Not Replicate
sample2,NA,NA,NA,18Sv4,NA,Ok,Not Replicate
sample3,NA,NA,NA,18Sv4,NA,Ok,Not Replicate
sample1.1B,1,B,NA,18Sv4:1,NA,Ok,Not Replicate
sample1.2B,2,B,NA,18Sv4:2,NA,Ok,Not Replicate
sample1.3B,3,B,NA,18Sv4:3,NA,Ok,Not Replicate
sample2,NA,NA,NA,18Sv4,NA,Ok,Not Replicate
sample3,NA,NA,NA,18Sv4,NA,Ok,Not Replicate
sample1.1B,1,B,NA,18Sv4:1,NA,Ok,Not Replicate
sample1.2B,2,B,NA,18Sv4:2,NA,Ok,Not Replicate
sample1.3B,3,B,NA,18Sv4:3,NA,Ok,Not Replicate
sample2,NA,NA,NA,18Sv4,NA,Ok,Not Replicate
sample3,NA,NA,NA,18Sv4,NA,Ok,Not Replicate
sample1.1B,1,B,NA,18Sv4:1,NA,Ok,Not Replicate
sample1.2B,2,B,NA,18Sv4:2,NA,Ok,Not Replicate
sample1.3B,3,B,NA,18Sv4:3,NA,Ok,Not Replicate
sample2,NA,NA,NA,18Sv4,NA,Ok,Not Replicate
sample3,NA,NA,NA,18Sv4,NA,Ok,Not Replicate
sample1.1B,1,B,NA,18Sv4:1,NA,Ok,Not Replicate
sample1.2B,2,B,NA,18Sv4:2,NA,Ok,Not Replicate
sample1.3B,3,B,NA,18Sv4:3,NA,Ok,Not Replicate
sample2,NA,NA,NA,18Sv4,NA,Ok,Not Replicate
sample3,NA,NA,NA,18Sv4,NA,Ok,Not Replicate
