asv_samp_name,final_samp_name,region
sample1.1B,NA,NA
sample1.1B.1,NA,NA
sample1.1B.2,NA,NA
sample2,sample2,18Sv4
sample3,sample3,18Sv4
sample6_NC,sample6_NC,18Sv4
sample7_POSITIVE,NA,NA
NA,sample1.1B,18Sv4
NA,sample1.2B,18Sv4
NA,sample1.3B,18Sv4
NA,sample7_POSITIVE,18Sv4
sample1.2B,NA,NA
sample1.3B,NA,NA
sample1_1B,sample1.1B,18Sv4
sample1_2B,sample1.2B,18Sv4
sample1_3B,sample1.3B,18Sv4
sample7_run1_18Sv4_POSITIVE,NA,NA
sample7_POSITIVE,sample7.run1.18Sv4.POSITIVE,18Sv4
NA,sample7.run1.18Sv4.POSITIVE,18Sv4
