ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_124	Eukaryota	Ciliophora	Phyllopharyngea	Exogenida	Ephelotidae	Ephelota	Ephelota plana
ASV_330	Eukaryota	Dinophyceae__p	Dinophyceae	NA	NA	NA	NA
ASV_125	Eukaryota	Dinophyceae__p	Dinophyceae	NA	NA	NA	NA
ASV_126	Eukaryota	Dinophyceae__p	Dinophyceae	NA	NA	NA	NA
ASV_127	Eukaryota	Ciliophora	Spirotrichea	NA	NA	NA	NA
ASV_25	Eukaryota	Dinophyceae__p	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa	Heterocapsa rotundata
ASV_5	Eukaryota	Dinophyceae__p	Dinophyceae	NA	NA	NA	NA
ASV_34835	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	NA	NA	NA
ASV_21220	Eukaryota	Dinophyceae__p	Dinophyceae	Gymnodiniales	NA	NA	NA
ASV_21221	Eukaryota	Dinophyceae__p	Dinophyceae	Gymnodiniales	Gymnodiniaceae	NA	NA
